item_id,description,category,budgeted_cost,planned_value,earned_value,actual_cost,planned_pct,earned_pct
BOQ001,Civil Works - Foundation,Civil,15000000,8362548,6800899,7330589,55.8,45.3
BOQ002,Civil Works - Superstructure,Civil,28000000,21586358,19549488,19444745,77.1,69.8
BOQ003,Steel Reinforcement,Steel,22000000,12673796,10735238,15103104,57.6,48.8
BOQ004,Structural Steel Fabrication,Steel,18000000,11080645,9598406,10192729,61.6,53.3
BOQ005,Electrical Works,MEP,12000000,7315816,6580382,6979247,61.0,54.8
BOQ006,Plumbing & Drainage,MEP,8000000,4929057,4364834,5534507,61.6,54.6
BOQ007,HVAC Systems,MEP,10000000,5519496,5162597,7092232,55.2,51.6
BOQ008,Finishing Works - Interior,Finishing,9000000,5868676,4611373,5024680,65.2,51.2
BOQ009,Finishing Works - Exterior,Finishing,7000000,4556849,3514841,4011989,65.1,50.2
BOQ010,Landscaping & Site Development,Civil,4000000,3216993,2859447,2771786,80.4,71.5
BOQ011,Labor - Skilled,Labor,16000000,12302713,10744358,14750406,76.9,67.2
BOQ012,Labor - Unskilled,Labor,8000000,5308483,4655376,6700233,66.4,58.2
BOQ013,Project Management,Overhead,5000000,3677780,3487243,3891348,73.6,69.7
BOQ014,Safety & Compliance,Overhead,3000000,2284115,1737160,1850892,76.1,57.9
BOQ015,Equipment Hire,Equipment,11000000,7004980,5382292,5358500,63.7,48.9
