description,category,budgeted_cost,planned_value,earned_value,actual_cost,CPI,SPI,EAC,overrun_predicted_inr,overrun_pct,status
Civil Works - Foundation,Civil,1500000000,1275000000,1080000000,1134000000,0.952,0.847,1575630252,75630252,5.0,🟢 ON TRACK
Civil Works - Superstructure,Civil,2800000000,2184000000,1820000000,1911000000,0.952,0.833,2941176471,141176471,5.0,🟢 ON TRACK
Steel Reinforcement,Steel,2200000000,1804000000,1320000000,1650000000,0.8,0.732,2750000000,550000000,25.0,🔴 CRITICAL
Structural Steel Fabrication,Steel,1800000000,1260000000,990000000,1237500000,0.8,0.786,2250000000,450000000,25.0,🔴 CRITICAL
HT Cable Supply & Laying,Electrical,1200000000,1080000000,900000000,990000000,0.909,0.833,1320132013,120132013,10.0,🟡 WARNING
LT Cable Supply & Laying,Electrical,800000000,704000000,640000000,704000000,0.909,0.909,880088009,80088009,10.0,🟡 WARNING
Distribution Transformers,Electrical,600000000,570000000,540000000,594000000,0.909,0.947,660066007,60066007,10.0,🟡 WARNING
Substation Construction,Civil,900000000,540000000,405000000,425250000,0.952,0.75,945378151,45378151,5.0,🟢 ON TRACK
HVAC Systems,MEP,1000000000,750000000,600000000,660000000,0.909,0.8,1100110011,100110011,10.0,🟡 WARNING
Plumbing & Drainage,MEP,800000000,640000000,560000000,616000000,0.909,0.875,880088009,80088009,10.0,🟡 WARNING
Finishing Works,Finishing,700000000,455000000,385000000,404250000,0.952,0.846,735294118,35294118,5.0,🟢 ON TRACK
Landscaping,Civil,400000000,200000000,160000000,168000000,0.952,0.8,420168067,20168067,5.0,🟢 ON TRACK
Labor - Skilled,Labor,1600000000,1408000000,1120000000,1400000000,0.8,0.795,2000000000,400000000,25.0,🔴 CRITICAL
Labor - Unskilled,Labor,800000000,736000000,600000000,750000000,0.8,0.815,1000000000,200000000,25.0,🔴 CRITICAL
Equipment Hire,Equipment,1100000000,858000000,715000000,750750000,0.952,0.833,1155462185,55462185,5.0,🟢 ON TRACK
