task_id,task_name,required_by,completion_pct,assignee,priority
T1,Delivery Task 1,2025-04-01,90,Team A,High
T2,Delivery Task 2,2025-04-01,85,Team B,High
T3,Delivery Task 3,2025-04-01,40,Team C,High
T4,Delivery Task 4,2025-04-01,30,Team D,High
T5,Delivery Task 5,2025-04-01,20,Team A,High
T6,Delivery Task 6,2025-04-01,70,Team B,Medium
T7,Delivery Task 7,2025-04-01,60,Team C,Medium
T8,Delivery Task 8,2025-04-01,10,Team D,Medium
T9,Delivery Task 9,2025-04-01,95,Team A,Medium
T10,Delivery Task 10,2025-04-01,80,Team B,Medium
T11,Delivery Task 11,2025-04-01,50,Team C,Medium
T12,Delivery Task 12,2025-04-01,45,Team D,Medium
T13,Delivery Task 13,2025-04-01,15,Team A,Medium
T14,Delivery Task 14,2025-04-01,88,Team B,Medium
T15,Delivery Task 15,2025-04-01,72,Team C,Medium
T16,Delivery Task 16,2025-04-01,33,Team D,Medium
T17,Delivery Task 17,2025-04-01,66,Team A,Medium
T18,Delivery Task 18,2025-04-01,5,Team B,Medium
T19,Delivery Task 19,2025-04-01,92,Team C,Medium
T20,Delivery Task 20,2025-04-01,78,Team D,Medium
